,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
405,405,"
Paris, IDF","
Indemnités Repas, Mutuelle, Transport, Participation Aux Bénéfices, Primes",,,"
Il y a 1 jour",,,,,,"
Temps Plein, CDI",2023-07-21,"Si tu penses que l’on parle d’internet, ce qui suit ne t’es pas destiné…
Ce que tu recherches :
Evoluer au sein d’une équipe dynamique
Participer à des projets innovants d’envergure
Relever des défis
Donner un nouveau souffle à ta carrière
Alors nous avons la mission idéale pour toi.
Au sein d’acteurs majeurs des secteurs du E-Commerce, Retail ou bancaire, tu participeras à des projets d’envergure, de refonte, de migration et / ou à des évolutions majeures à mettre en œuvre dans le SI du client :
Analyse des besoins, tu feras
Spécifications techniques, tu rédigeras
L’architecture et/ou socle technique, tu définiras
Bonnes pratiques, tu instaureras
De nouvelles fonctionnalités, tu développeras
Zéro bug, tu laisseras
Ton équipe, tu accompagneras
Aux instances de pilotage, tu participeras
Qui tu es :
Diplômé(e) de la formation qui va bien
Surdoué(e) ou dôté(e) d’une expérience de 5 ans minimum
Expert(e) de la Stack technique .NET, .Net Core
Habile avec Angular : ReactJs, ASP.Net, C#, Rest API, SQL, Transact SQL
Au-delà des compétences techniques, tu es :
Dynamique : tu n’aimes pas rester les deux pieds dans le même sabot
Autonome : un guide du Routard te suffira
Esprit de synthèse : tu sais aller à l’essentiel
Capacité d’adaptation : tu es un vrai caméléon
Sens de la communication : les mots n’ont pas de secret pour toi
Force de proposition : tu es l’Aladdin de l’informatique
Esprit d’équipe : un pour tous et tous pour un !",b9bed3c7-faa8-4b66-b391-b1c594631467,CONSULTANT .NET - .NET CORE (H/F),.net
406,406,"
Clermont-Ferrand, ARA",,,2009.0,"
Il y a 4 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Imaginez que vous rejoignez une équipe ambitieuse et passionnée par le secteur du développement informatique.
Je suis Elodie, consultante spécialisée sur les métiers de l'IT, prête à vous accompagner dans cette aventure.
Aujourd'hui mon client, basé à Clermont-Ferrand, m'a missionné pour trouver son futur développeur C# .net.
Vos missions
participer au développement
rédiger des specs techniques
optimiser et maintenir l’existant
Pré-requis
Vous avez une maitrise C# et .Net de 2 ans au minima.
Profil recherché
Vous êtes réactif, autonome, rigoureux, avez un très bon relationnel et une bonne capacité d'écoute.
Vous êtes titulaire d'un bac +2 minimum en développement informatique.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 30000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 17/07/2023",02295ea5-28c1-4825-8ba3-ce2a022a35b5,Développeur C# .net H/F,.net
407,407,"
Dunkerque, HDF",,,1966.0,"
Il y a 4 jours",,"
Ingénierie & Services Associés","
https://expleo.com/global/fr/carrieres/",,"
10 000 salariés ou plus","
CDI",2023-07-21,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale.
Dans un contexte d'accélération technologique, vous prendrez part à des challenges techniques divers et variés.
Mission
Intégré(e) à l’équipe Digital Transformation Services en tant que Développeur .NET/C#, vous participerez au développement et à la maintenance évolutive des projets de l'entreprise.
 Vos missions :
Recueillir et analyser les besoins fonctionnels et techniques
Réaliser la conception logicielle et la définition de la structure de la base de données
Concevoir et développer des fonctionnalités Backend et Frontend
Définir les orientations technologiques en partenariat avec les architectes
Réaliser les tests techniques et corriger les anomalies
Effectuer une veille technologique permanente et la partager  
Participer à la rédaction de la documentation technique
Profil
Diplômé(e) d’une formation supérieure en informatique (Bac + 5), vous avez une première expérience significative dans le développement Web (4 ans exp hors études).
Maîtrise des langages et Framework web full stack :
.NET
C#
Javascript
ASP.NET
SQL (des notions en NoSQL seraient un plus)
Connaissance des outils :
DevOps,
Microsoft Visual Studio,
Git,
MVC,
User Story,
Méthode Agile
Vous avez également d'excellentes compétences interpersonnelles, une capacité d'analyse et de synthèse, une curiosité et une appétence pour la veille technologique, le sens de l’écoute et du dialogue, de l'autonomie, le sens des responsabilités et une bonne capacité d’adaptation.
 Un anglais professionnel est un atout.
 Nos postes sont accessibles aux personnes en situation de handicap.
  La localisation des postes n’est qu’indicative, une mobilité géographique sur le territoire national peut être requise si la mission client le nécessite ou si une nouvelle mission est demandée.",3d3c69c6-2826-4e00-9e94-8ccad9ec4dbd,Développeur .NET/C# F/H,.net
408,408,"
Montpellier, OCC",,,1976.0,"
Il y a 4 jours",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Analyse et technologies numériques émergentes
Localisation principale : France, Hérault, Montpellier
No de poste :J0723-0742
Type d’emploi :Temps plein
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Rejoignez notre centre d’excellence en innovation à Montpellier et rendez unique l’expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité ?
Fonctions et responsabilités :
Vous intégrerez une équipe projet au sein d’un centre de service de développement de nouvelles applications pour un client stratégique dans le domaine de l’aéronautique.

Le projet cible concerne le développement d’une application de suivi des différents indicateurs clés autour des technologies .NET 5, C# 5.0, TypeScript, Entity Framework 6.0, Microsoft SQL serveur.

Vous participerez aux activités allant de la mise en œuvre de l’architecture technique en relation avec les architectes et experts techniques CGI et du client, jusqu’à la maintenance une fois l’application ouverte en ligne, en passant par les spécifications techniques et les développements.

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...).
Qualités requises pour réussir dans ce rôle :
- De formation Bac+3 minimum en informatique, vous justifiez impérativement d'au moins 2 ans d'expérience professionnelle dans le développement, l’architecture et la conception d'applications Portails .NET et sur les technologies Web.
- Des compétences sur la méthodologie Scrum sont un plus.
- La maîtrise de la langue anglaise serait un plus.

Votre curiosité, votre autonomie et esprit d'initiative sont des atouts pour développer vos compétences et contribuer à votre évolution. Votre esprit d'équipe favorisera votre intégration au sein de l'agence.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
.NET


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",52608b92-cc0a-41f0-bc40-4004e830d953,Développeur(se) .NET F/H,.net
409,409,"
Bordeaux, NA",,,2013.0,"
Il y a 2 jours",,"
Informatique - Services","
https://www.audensiel.com/",,"
2500 à 4999 salariés",,2023-07-21,"Présentation de l'entreprise
Acteur multi-spécialiste en transformation digitale, conseil métier et conseil en technologies, Audensiel accompagne ses clients de tout secteur d'activité en France et à l’international dans les domaines suivants :
- Digital : projets de transformation digitale, de la direction de projets en méthode Agile en passant par l’AMOA et le développement d’applications jusqu’à la recette/test.
- Conseil : conseil IT au sein des DSI et conseil métier au sein des directions fonctionnelles spécifiquement pour la Banque, l’Assurance et l’Industrie pharmaceutique dans leurs problématiques de gouvernance, de conformité réglementaire, de gestion des risques et de transformation des directions financières ;
- Data/IA : Architecture et développement de solutions Big Data avec des consultants data engineer et data scientists. Développement projets innovants d’intelligence artificielle de nos clients sous forme de POC.
- IoT : Exploitation des données des objets connectés et leurs traitements au sein de systèmes complexes interconnectés. Conception de l’ensemble de la chaîne de valeur qui permet d’offrir la meilleure expérience utilisateur pour ces nouveaux services et d’optimiser les gains de productivité ;
- Cybersécurité : Accompagnement sur la gouvernance des problématiques de cybersécurité de nos clients. Audit et gestion de projets pour la défense et la sécurité de données.
- Cloud/DevOps : Accompagnement à différents niveaux de votre projet, stratégie et gouvernance, architecture, développement ou encore DevOps.
Vos missions
Dans le cadre de divers projets chez certains de nos clients majeurs Bordelais, vos missions seront de :
· Concevoir et réaliser le développement en environnement .NET (C#, ASP, MVC…),
· Développer les tests unitaires,
· Assurer la cohérence des développements via des revues de code régulières,
· Participer aux différentes cérémonies agiles,
· Collecter et analyser les besoins
Votre profil
Issu(e) d’une formation Bac+3 en informatique, d’une école d’ingénieur ou d’une formation universitaire Bac+5, que vous justifiez d’une expérience réussie sur l’environnement .NET.

Vous avez une bonne maîtrise du langage C#, de ses frameworks qui le composent (ASP.NET, MVC, WCF…) ainsi que du développement web d’une manière générale.

Vous avez de bonnes connaissances en système/réseaux, vous êtes reconnu pour votre rigueur, vous êtes passionné et animé par le challenge.

Conformément à son engagement éthique, Audensiel s'engage à lutter contre toute discrimination et à promouvoir la diversité et l'égalité des chances.",7ed42664-aed0-4efe-ad50-c655b4d72628,Développeur .NET F/H,.net
410,410,"
Metz, GE 57070",,,,"
Il y a 2 jours","
40 000 € Par An","
Cabinets Conseils En Management & Stratégie","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Notre client, basé à METZ, est le spécialiste de la dématérialisation de la gestion d'aides et de subventions.

Pourquoi rejoindre cette entreprise ?

Notre client, avec sa culture d'entreprise centrée sur le bien-être de ses employés, sa solidité à toute épreuve et ses valeurs humaines fortes, saura répondre à toutes vos attentes professionnelles.
Descriptif du poste:
Vous intervenez au sein de la DSI, dans une équipe de 5 à 7 développeurs.euses et accompagné.e par un.e lead developpeur.euse.

Votre quotidien s'articule autour des missions suivantes :
- Réaliser des tâches de développement frontend comme backend
- Réaliser de nouvelles features
- Travailler en mode projets
- Effectuer des tâches de maintenance applicative
- S'imprégner des problématiques métiers
- ...

Basé sur le secteur de Metz, accessible en transport en communs, ce poste est à pourvoir en CDI.
La rémunération sera définie en fonction de votre profil et de votre expérience.

Vous bénéficiez d'autres avantages tels que : 2 jours de télétravail/semaine, Avantages CSE, RTT, Tickets restaurants,...
Profil recherché:
Diplômé·e Bac +5, vous justifiez d'une expérience professionnelle d'au minimum 5 ans dont 2 ans en pilotage de projets.

Compétences techniques :
- Maîtrise des architectures web et des bonnes pratiques de développement (SOLID, DRY, YAGNI, CQRS,…).
- Maîtrise de Git et de GitLab.
- Expérience solide avec C# / .Net, ASP.net, WCF, JavaScript.
- Expérience avec le SGBD Oracle, PL/SQL.
- Bonne connaissance de la chaine CI/CD.
- Connaissance des stratégies de tests unitaires et d'intégration. Moq, SpecFlow.

Processus de recrutement :
Rejoignez notre équipe en 3 étapes faciles ! Postulez, validez votre candidature et inutile de vous soucier de la suite, nous nous occupons de tout.
Réf. de l’offre: 307-S79-R000201_01R",3074d321-3c5e-486b-993e-9d3f975c5539,Développeur.euse c# / .net (F/H),.net
411,411,"
Perpignan, OCC 66100",,,,"
Il y a 2 jours","
35 000 € Par An","
Informatique - Software","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Nous recherchons pour le compte de notre client PME basé sur Perpignan un Développeur Logiciel .Net / C# principalement Back end ( F/H)
Descriptif du poste:
Dans le cadre de vos fonctions, vos missions seront:

-Le développement et la maintenance de nouvelles applications dans un environnement .Net / C#
Oracle / SQL Server / MVC.Net / Javascript / JQuery / Visual Studio / Team Foundation Server / Git.
-Vous participez aux projets de développement de nouvelles applications, aux projets de migration et
d'évolution d'architecture.
-Vous êtes à l'écoute des utilisateurs afin de leur apporter le confort d'utilisation attendu.

Le poste est à pourvoir dans le cadre d'un CDI , la rémunération annuelle brute proposée est comprise entre 32 K € et 40 K € annuelle selon l'expérience .
Profil recherché:
De formation Bac+3 en informatique, vous justifiez d'une expérience de 2 années minimum sur un poste de Développeur ou similaire.

Nous recherchons des candidats motivés, ayant le sens du service et une réelle capacité à s'intégrer à
une équipe.

Vous souhaitez intégrer une société à taille humaine et participer à son développement.
Réf. de l’offre: 307-S34-R000869_01R",b84254ca-01cb-453e-94a6-8a2f2d43de6d,Developpeur informatique .net / c# (F/H),.net
412,412,"
Challans, PLO 85300",,,,"
Il y a 2 jours","
30 000 € Par An","
Cabinets Conseils En Management & Stratégie","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Nous recherchons pour le compte de notre client un développeur ou une développeuse informatique à Challans.
Descriptif du poste:
Au sein d'une équipe de 8 personnes, vous travaillerez sur un environnement .NET (web et mobile).

- Assurer le développement et la réalisation des applications (prototypes et modules) en utilisant les langages et technologies appropriés : C#, Winforms, Xamarin Forms, ASP MVC,…
- Participer à la structuration des bases de données (SQL server)
- Documenter les applications pour les développements ultérieurs et la mise en production
- Vérifier la conformité avec le cahier des charges
- Savoir analyser les demandes

Maintenance évolutive et corrective:
- Assurer une maintenance corrective et/ou évolutive applicative (TMA).
- Rédiger les documentations techniques
Profil recherché:
De formation Bac+3 en informatique, vous justifiez d'une expérience de 2 ans en informatique (alternance et stage compris)

Connaissances:
- Connaissances requises du langage SQL (SQL serveur)
- Maîtrise des méthodes et outils de développement (UML, méthodes agiles, méthodologies objet)
- Environnement de développement : Visual Studio, Git.
- Connaissance des Framework : .net
- Maitrise des langages de programmation (C#).
- Connaissance des OS Windows et Windows mobile
- Bonne connaissance des normes et procédures de sécurité
Réf. de l’offre: 307-S18-R000893_02R",4b1df5d0-9af4-4fef-8895-6b57b88e5c56,Développeur/développeuse .net/c# h/f,.net
413,413,"
Aix-En-Provence, PACA",,"
Congés Maternité / Paternité, Mutuelle, Restaurant / Tickets Restaurants, Congés Payés, Congés Maladie, Congés Payés, Télé-Travail, Événements Employés, Programme De Cooptation, Prévoyance",1989.0,"
Il y a 1 jour",,"
Informatique - Services","
https://www.carrieres.open.global",,"
2500 à 4999 salariés",,2023-07-21,"Contexte de la mission :
Notre Business Unit compte actuellement 65 collaborateurs, ce qui fait d’elle une agence à taille humaine.
Nous travaillons en direct chez nos clients Grands Comptes, dans leurs locaux, au sein de notre centre de services, ou en télétravail.
Nous recherchons un Lead Tech .NET H/F à Aix en Provence, pour venir renforcer nos équipes qui interviennent sur le développement d'applications dans nos locaux. Vous interviendrez dans un environnement technique riche, multi-projets, avec des clients locaux et nationaux. Pour exemple, nous travaillons actuellement à l’amélioration quotidienne des applications d’une grande école de commerce.
En nous rejoignant, vous pourrez ainsi contribuer à faciliter les échanges de plusieurs milliers d’utilisateurs. Curieux d’en apprendre plus ?
 Venez nous rejoindre !
 Petit parmi les grands et grand parmi les petits, OPEN vous permettra d’étendre votre scope technique parmi un champ des possibles de projets Agiles (en méthode SCRUM). 
Vous aurez la possibilité de travailler avec des outils qui vont contribuer au développement stratégique de demain.
Ce poste est fait pour vous :
 Vous aimez poser un cadre technique basé sur vos convictions et votre expérience ? Vous souhaitez accompagner une équipe et la faire grandir chaque jour ? Être au cœur du projet en étant l’interface privilégiée du client et des utilisateurs ne vous fait pas peur ? Alors ce poste est fait pour vous !
Environnement technique :
Forte connaissance en développement NET Core /.NET C# et connaissance des ORM.
Maîtrise des standards du web et des webservices (Html, CSS, Razor, Blazor, REST, SOAP, Bootstrap).
Connaissance des outils (Visual Studio, TFS, Jenkins, Git...).
Connaissance SQL Server et T/SQL.
Au-delà de la mission vous pourrez
Intégrer des communautés d’experts à travers nos practices techniques (Mobile, New Dev, Ops) et nos Practices métiers (AMOA, Test et Agilité). Ces communautés permettent à chacun de monter en compétences sur des technologies émergentes par le biais de formations, de certifications, d’ateliers techniques, de projets mais aussi d’événements et de meetups.
Bénéficier de nos engagements RH en matière de trajectoire professionnelle et de diversité de métiers rendu possible grâce à notre référentiel métier « Repères & Vous ».
Vous engagez à nos côtés et contribuez à augmenter l’impact positif de nos actions : faites de vos compétences des dons à destination d’associations, participez à des événements sportifs associatifs et faites-vous sponsoriser.
Bénéficier d’un suivi de proximité et personnalisé, managé(e) par un de vos pairs,
ref : CHA20277
Qu’attendez-vous pour être Open ?",135c3fc9-4ec0-4cf7-bd90-e348203e3ac0,Tech Lead .NET H/F,.net
414,414,"
Paris, IDF","
Indemnités Repas, Mutuelle, Transport, Participation Aux Bénéfices, Primes",,,"
Il y a 1 jour",,,,,,"
Temps Plein, CDI",2023-07-21,"Si tu penses que l’on parle d’internet, ce qui suit ne t’es pas destiné…
Ce que tu recherches :
Evoluer au sein d’une équipe dynamique
Participer à des projets innovants d’envergure
Relever des défis
Donner un nouveau souffle à ta carrière
Alors nous avons la mission idéale pour toi.
Au sein d’acteurs majeurs des secteurs du E-Commerce, Retail ou bancaire, tu participeras à des projets d’envergure, de refonte, de migration et / ou à des évolutions majeures à mettre en œuvre dans le SI du client :
Analyse des besoins, tu feras
Spécifications techniques, tu rédigeras
L’architecture et/ou socle technique, tu définiras
Bonnes pratiques, tu instaureras
De nouvelles fonctionnalités, tu développeras
Zéro bug, tu laisseras
Ton équipe, tu accompagneras
Aux instances de pilotage, tu participeras
Qui tu es :
Diplômé(e) de la formation qui va bien
Surdoué(e) ou dôté(e) d’une expérience de 5 ans minimum
Expert(e) de la Stack technique .NET, .Net Core
Habile avec Angular : ReactJs, ASP.Net, C#, Rest API, SQL, Transact SQL
Au-delà des compétences techniques, tu es :
Dynamique : tu n’aimes pas rester les deux pieds dans le même sabot
Autonome : un guide du Routard te suffira
Esprit de synthèse : tu sais aller à l’essentiel
Capacité d’adaptation : tu es un vrai caméléon
Sens de la communication : les mots n’ont pas de secret pour toi
Force de proposition : tu es l’Aladdin de l’informatique
Esprit d’équipe : un pour tous et tous pour un !",a347732a-d7fb-4609-97c1-71a0838e722c,CONSULTANT .NET - .NET CORE (H/F),.net
415,415,"
Clermont-Ferrand, ARA",,,2009.0,"
Il y a 4 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Imaginez que vous rejoignez une équipe ambitieuse et passionnée par le secteur du développement informatique.
Je suis Elodie, consultante spécialisée sur les métiers de l'IT, prête à vous accompagner dans cette aventure.
Aujourd'hui mon client, basé à Clermont-Ferrand, m'a missionné pour trouver son futur développeur C# .net.
Vos missions
participer au développement
rédiger des specs techniques
optimiser et maintenir l’existant
Pré-requis
Vous avez une maitrise C# et .Net de 2 ans au minima.
Profil recherché
Vous êtes réactif, autonome, rigoureux, avez un très bon relationnel et une bonne capacité d'écoute.
Vous êtes titulaire d'un bac +2 minimum en développement informatique.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 30000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 17/07/2023",975b8113-4e3c-4c92-ad4b-93f5460f1c9a,Développeur C# .net H/F,.net
416,416,"
Dunkerque, HDF",,,1966.0,"
Il y a 4 jours",,"
Ingénierie & Services Associés","
https://expleo.com/global/fr/carrieres/",,"
10 000 salariés ou plus","
CDI",2023-07-21,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale.
Dans un contexte d'accélération technologique, vous prendrez part à des challenges techniques divers et variés.
Mission
Intégré(e) à l’équipe Digital Transformation Services en tant que Développeur .NET/C#, vous participerez au développement et à la maintenance évolutive des projets de l'entreprise.
 Vos missions :
Recueillir et analyser les besoins fonctionnels et techniques
Réaliser la conception logicielle et la définition de la structure de la base de données
Concevoir et développer des fonctionnalités Backend et Frontend
Définir les orientations technologiques en partenariat avec les architectes
Réaliser les tests techniques et corriger les anomalies
Effectuer une veille technologique permanente et la partager  
Participer à la rédaction de la documentation technique
Profil
Diplômé(e) d’une formation supérieure en informatique (Bac + 5), vous avez une première expérience significative dans le développement Web (4 ans exp hors études).
Maîtrise des langages et Framework web full stack :
.NET
C#
Javascript
ASP.NET
SQL (des notions en NoSQL seraient un plus)
Connaissance des outils :
DevOps,
Microsoft Visual Studio,
Git,
MVC,
User Story,
Méthode Agile
Vous avez également d'excellentes compétences interpersonnelles, une capacité d'analyse et de synthèse, une curiosité et une appétence pour la veille technologique, le sens de l’écoute et du dialogue, de l'autonomie, le sens des responsabilités et une bonne capacité d’adaptation.
 Un anglais professionnel est un atout.
 Nos postes sont accessibles aux personnes en situation de handicap.
  La localisation des postes n’est qu’indicative, une mobilité géographique sur le territoire national peut être requise si la mission client le nécessite ou si une nouvelle mission est demandée.",4014ef5d-c20b-49fa-afc3-1929491211c2,Développeur .NET/C# F/H,.net
417,417,"
Montpellier, OCC",,,1976.0,"
Il y a 4 jours",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Analyse et technologies numériques émergentes
Localisation principale : France, Hérault, Montpellier
No de poste :J0723-0742
Type d’emploi :Temps plein
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Rejoignez notre centre d’excellence en innovation à Montpellier et rendez unique l’expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité ?
Fonctions et responsabilités :
Vous intégrerez une équipe projet au sein d’un centre de service de développement de nouvelles applications pour un client stratégique dans le domaine de l’aéronautique.

Le projet cible concerne le développement d’une application de suivi des différents indicateurs clés autour des technologies .NET 5, C# 5.0, TypeScript, Entity Framework 6.0, Microsoft SQL serveur.

Vous participerez aux activités allant de la mise en œuvre de l’architecture technique en relation avec les architectes et experts techniques CGI et du client, jusqu’à la maintenance une fois l’application ouverte en ligne, en passant par les spécifications techniques et les développements.

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...).
Qualités requises pour réussir dans ce rôle :
- De formation Bac+3 minimum en informatique, vous justifiez impérativement d'au moins 2 ans d'expérience professionnelle dans le développement, l’architecture et la conception d'applications Portails .NET et sur les technologies Web.
- Des compétences sur la méthodologie Scrum sont un plus.
- La maîtrise de la langue anglaise serait un plus.

Votre curiosité, votre autonomie et esprit d'initiative sont des atouts pour développer vos compétences et contribuer à votre évolution. Votre esprit d'équipe favorisera votre intégration au sein de l'agence.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
.NET


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",d9344630-fe5f-4e67-a477-1f75081272be,Développeur(se) .NET F/H,.net
418,418,"
Bordeaux, NA",,,2013.0,"
Il y a 2 jours",,"
Informatique - Services","
https://www.audensiel.com/",,"
2500 à 4999 salariés",,2023-07-21,"Présentation de l'entreprise
Acteur multi-spécialiste en transformation digitale, conseil métier et conseil en technologies, Audensiel accompagne ses clients de tout secteur d'activité en France et à l’international dans les domaines suivants :
- Digital : projets de transformation digitale, de la direction de projets en méthode Agile en passant par l’AMOA et le développement d’applications jusqu’à la recette/test.
- Conseil : conseil IT au sein des DSI et conseil métier au sein des directions fonctionnelles spécifiquement pour la Banque, l’Assurance et l’Industrie pharmaceutique dans leurs problématiques de gouvernance, de conformité réglementaire, de gestion des risques et de transformation des directions financières ;
- Data/IA : Architecture et développement de solutions Big Data avec des consultants data engineer et data scientists. Développement projets innovants d’intelligence artificielle de nos clients sous forme de POC.
- IoT : Exploitation des données des objets connectés et leurs traitements au sein de systèmes complexes interconnectés. Conception de l’ensemble de la chaîne de valeur qui permet d’offrir la meilleure expérience utilisateur pour ces nouveaux services et d’optimiser les gains de productivité ;
- Cybersécurité : Accompagnement sur la gouvernance des problématiques de cybersécurité de nos clients. Audit et gestion de projets pour la défense et la sécurité de données.
- Cloud/DevOps : Accompagnement à différents niveaux de votre projet, stratégie et gouvernance, architecture, développement ou encore DevOps.
Vos missions
Dans le cadre de divers projets chez certains de nos clients majeurs Bordelais, vos missions seront de :
· Concevoir et réaliser le développement en environnement .NET (C#, ASP, MVC…),
· Développer les tests unitaires,
· Assurer la cohérence des développements via des revues de code régulières,
· Participer aux différentes cérémonies agiles,
· Collecter et analyser les besoins
Votre profil
Issu(e) d’une formation Bac+3 en informatique, d’une école d’ingénieur ou d’une formation universitaire Bac+5, que vous justifiez d’une expérience réussie sur l’environnement .NET.

Vous avez une bonne maîtrise du langage C#, de ses frameworks qui le composent (ASP.NET, MVC, WCF…) ainsi que du développement web d’une manière générale.

Vous avez de bonnes connaissances en système/réseaux, vous êtes reconnu pour votre rigueur, vous êtes passionné et animé par le challenge.

Conformément à son engagement éthique, Audensiel s'engage à lutter contre toute discrimination et à promouvoir la diversité et l'égalité des chances.",ca63cfc4-794b-4dac-af35-ab3db5e71a25,Développeur .NET F/H,.net
