,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
395,395,"
Sophia Antipolis, PACA",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Analyse et technologies numériques émergentes
Localisation principale : France, Alpes-Maritimes, Sophia Antipolis
No de poste :J1022-1089
Type d’emploi :Temps plein
Description du poste :
Chez CGI, leader mondial du conseil et des services numériques, vous rejoignez nos équipes Data à Sophia Antipolis en tant que Consultant Microsoft Power BI expérimenté.

Au sein de la technopole de Sophia Antipolis, CGI est reconnue pour son expertise technique et ses offres dans les domaines de la data, du digital customer et du conseil. Nos équipes évoluent dans un environnement alliant proximité, inclusion, ouverture internationale, et interviennent pour nos clients dans les secteurs du transport, du service, de l’industrie, des télécommunications ou encore de la retraite/prévoyance.
Fonctions et responsabilités :
En tant que Consultant Microsoft Power BI expérimenté, vous intégrez une équipe de collaborateurs CGI et participerez à toutes les phases de mise en œuvre d’un projet BI, de l'analyse du besoin client à la mise en place de la solution technique. Vous évoluerez sur des projets d'envergure, dans des environnements métiers variés avec un niveau de responsabilité croissant. Vous aurez également la possibilité de contribuer à l’animation de la communauté Data et au développement de l’offre Data.

Rattaché à un Directeur Conseil & Services, et en fonction de vos envies et votre expérience, vos missions principales s’articuleront autour des activités suivantes :

• Identification et priorisation des cas d’usages métiers
• Conduite d’ateliers métiers et IT
• Analyse et formalisation des besoins en relation direct avec les utilisateurs, dans un contexte régulièrement complexe et international (en anglais)
• Rédaction des spécifications fonctionnelles et techniques
• Définition de la stratégie de test, plan de test, tests de validation, contrôles de qualité des livrables
• Rédaction des documents techniques
• Développements complexes et encadrement d’autres développeurs
• Participation à l’animation de la communauté : Veille technologique sur votre domaine d’intervention, capitalisation et communication des évolutions technologiques auprès des experts de votre filière.
• Contribution aux propositions commerciales et aux présentations clients ou internes
• Accompagnement au changement

Fort d’une intégration réussie, de nombreuses possibilités d’évolutions de carrière s’offriront rapidement à vous, dans l’animation de la filière technique, dans le consulting Business et IT ou dans une fonction de Delivery.
Qualités requises pour réussir dans ce rôle :
Passionné(e) de nouvelles technologies, vous aimez le travail en équipe, apprendre, partager, vous êtes également doté(e) d'un esprit audacieux et ambitieux.

De formation Bac+5, vous justifiez impérativement d'au moins 3 ans d'expérience sur Microsoft Power BI (une certification serait un plus), et vous avez développé une autonomie sur votre domaine de compétence.

Vous êtes curieux, adaptable et êtes doté(e) du sens du service. Vous avez un bon relationnel et une réelle capacité d’adaptation. Vous maîtrisez l’anglais. Votre dynamisme, votre ambition et votre goût du challenge sont vos atouts pour réussir dans ce poste. Votre envie de transmettre vos connaissances également.


CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+.
Compétences :
Data Visualisation


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",861367d8-c62d-4ece-adfd-58babd1d4d34,Consultant Microsoft Power BI Expérimenté H/F,microsoft
396,396,"
Nice, PACA",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Technique, cabinet de recrutement spécialisé en IT, recrute pour l'un de ses clients sur Nice un Ingénieur Système Microsoft. H/F.
Chez Lynx RH, nous sommes à votre écoute pour vous trouver les entreprises et les postes qui vous correspondent.
Notre process de recrutement vous permet d’avoir une vraie expérience du recrutement sur-mesure, dans un environnement de confiance et de transparence.
Vos missions
Ton défi en tant qu’Ingénieur Système Microsoft sera de répondre aux missions suivantes :
• Analyse des enjeux projet
• Intégration et configuration de solutions techniques Microsoft
• Audit, conseil • Design / Architecture de solutions techniques Microsoft
• Transfert de compétences • Rédaction de documentation • Veille technologique, enablement ;
• Troubleshooting niveau 3
• Audit de sécurité
• Plusieurs possibilités d’organisations s’offrent à toi : télétravail, mixte agence /client
Pré-requis
Tu as le sens du service, une bonne capacité d'écoute, tu sais communiquer et as un bon relationnel, notamment avec les clients.
Tu es autonome, force de proposition, tu as un esprit d’équipe, un bon sens du service et la relation client est un atout avéré chez toi, alors nous avons besoin de toi ! 
Profil recherché
Issu(e) d'une formation en informatique, vous possédez une expérience dans les environnements Systèmes. Vous maîtrisez au moins quatre des technologies suivantes :
• Microsoft Office 365
• Microsoft Exchange
• Microsoft Active Directory
• Microsoft Azure, AADConnect, AD FS
• Microsoft SQL
• Microsoft SCCM / CMCB
• RDS / Citrix XenDesktopApp, Citrix Netscaler ADC (bonus)
• Plateforme Hyperconvergence NUTANIX AHV
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 45000 € - 55000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/08/2023",6bed9b8b-6e4f-464a-90ce-bb3ef7c08afc,Ingénieur système Microsoft H/F,microsoft
397,397,"
Valbonne, PACA",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Technique, cabinet de recrutement spécialisé en IT, recrute pour l'un de ses clients sur Marseille un Ingénieur Système Microsoft. H/F.
Dans le cadre de notre développement, l'entreprise recherche un(e) Ingénieur Système Microsoft, sur la région marseillaise, afin d'accompagner ses clients dans le déploiement et le maintien en condition opérationnel de leur infrastructure.
Vos missions
Ton défi en tant qu'Ingénieur Système Microsoft sera de répondre aux missions suivantes :
- Analyse des enjeux projet
- Intégration et configuration de solutions techniques Microsoft
- Audit, conseil
- Design / Architecture de solutions techniques Microsoft
- Transfert de compétences
- Rédaction de documentation
- Veille technologique
- Troubleshooting niveau 3
- Audit de sécurité
- Plusieurs possibilités d'organisations s'offrent à toi : télétravail, mixte agence /client
Pré-requis
Tu as le sens du service, une bonne capacité d'écoute, tu sais communiquer et as un bon relationnel, notamment avec les clients.
Tu es autonome, force de proposition, tu as un esprit d'équipe, un bon sens du service et la relation client est un atout avéré chez toi, alors nous avons besoin de toi !
Possibilité de Télétravail partiel.
Profil recherché
Issu(e) d'une formation en informatique, tu possèdes une une expérience de minimum 7 ans dans les environnements Systèmes.
Tu maîtrises les technologies suivantes :
- Microsoft Office 365
- Microsoft Exchange
- Mirosoft Active Directory
- Microsoft Azure, AADConnect, AD FS
- Microsoft SQL
- Microsoft SCCM / CMCB
- RDS / Citrix XenDesktopApp, Citrix Netscaler ADC (bonus)
- Plateforme Hyperconvergence NUTANIX AHV
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 50000 € - 60000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 20/08/2023",3cde7b7f-f4ef-4288-b694-063aa06648e1,Ingénieur Système Microsoft H/F,microsoft
398,398,"
Marseille, PACA",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Technique, cabinet de recrutement spécialisé en IT, recrute pour l'un de ses clients sur Marseille un Ingénieur Système Microsoft. H/F.
Dans le cadre de notre développement, l'entreprise recherche un(e) Ingénieur Système Microsoft, sur la région marseillaise, afin d'accompagner ses clients dans le déploiement et le maintien en condition opérationnel de leur infrastructure.
Vos missions
Ton défi en tant qu'Ingénieur Système Microsoft sera de répondre aux missions suivantes :
- Analyse des enjeux projet
- Intégration et configuration de solutions techniques Microsoft
- Audit, conseil
- Design / Architecture de solutions techniques Microsoft
- Transfert de compétences
- Rédaction de documentation
- Veille technologique
- Troubleshooting niveau 3
- Audit de sécurité
- Plusieurs possibilités d'organisations s'offrent à toi : télétravail, mixte agence /client
Pré-requis
Tu as le sens du service, une bonne capacité d'écoute, tu sais communiquer et as un bon relationnel, notamment avec les clients.
Tu es autonome, force de proposition, tu as un esprit d'équipe, un bon sens du service et la relation client est un atout avéré chez toi, alors nous avons besoin de toi !
Possibilité de Télétravail partiel.
Profil recherché
Issu(e) d'une formation en informatique, tu possèdes une une expérience de minimum 7 ans dans les environnements Systèmes.
Tu maîtrises les technologies suivantes :
- Microsoft Office 365
- Microsoft Exchange
- Mirosoft Active Directory
- Microsoft Azure, AADConnect, AD FS
- Microsoft SQL
- Microsoft SCCM / CMCB
- RDS / Citrix XenDesktopApp, Citrix Netscaler ADC (bonus)
- Plateforme Hyperconvergence NUTANIX AHV
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 50000 € - 60000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 20/08/2023",d0fe5e95-e929-491a-aae6-24272afdc183,Ingénieur Systèmes Microsoft H/F,microsoft
399,399,"
Velizy Villacoublay, IDF",,,,"
Il y a 4 jours",,,,,,,2023-07-21,"Votre mission
LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client un Architecte Système Microsoft (Cloud/On premise) H/F basé à Velizy (78). 
Missions principales :
Apporter une expertise sur les technologies Microsoft (Windows Server, Active Directory, RDS, SCCM, Intune, Azure)
Assurer la mise en œuvre de solutions technologiques Microsoft pour nos clients internes, filiales du groupe à l’international
Aider le client à définir sa stratégie Cloud pour tirer profit des services IaaS et PaaS Azure
Participer aux évolutions d'architecture lors d’études et/ou d’audit
Être l’interlocuteur/référent vis-à-vis de nos clients sur les technologies Microsoft
Collecter et comprendre les besoins et les contraintes. Participer à l’élaboration de l’architecture cible et piloter la mise en œuvre
Définir les règles, préconisation et mettre en place des outils pour optimiser les coûts
Spécifier les besoins (performances, disponibilité, sécurité, …)
Valider la faisabilité de la mise en œuvre ou de la migration
Définir l’architecture technique et des solutions d’automatisations
Prise en charge des incidents N3 sur les technologies Microsoft. Faire le lien avec les équipes en charge de l’exploitation.
Identifier les produits tiers adaptés et démontrer leur valeur (CMP…)
Votre profil
Diplômé(e) d’une école d’Ingénieur ou d’une formation universitaire en informatique de niveau Bac +4 / Bac +5, le (la) candidat(e) justifie d’au moins 10 années d’expérience professionnelle.
Des compétences opérationnelles techniques sont attendus :
Cloud : Microsoft Azure IaaS et PaaS
Administration N3 : Windows Server, Active Directory, SCCM, Intune, RDS
Scripting : PowerShell, Bash, Python
Monitoring : Nagios, Centreon

Un anglais professionnel est attendue.
A propos de nous
LHH Recruitment Solutions, cabinet de conseil en recrutement et évaluation d'experts, cadres et dirigeants, vous accompagne tout au long de votre carrière et s'assure que vous soyez "" Ready For Next "".
A votre écoute, nos experts en recrutement vous guident pour aller de l'avant et faire évoluer votre carrière vers la prochaine étape.",45a70822-aa42-42b8-a53d-98be00676d85,Architecte Système Microsoft (h/f),microsoft
400,400,"
Nantes, PLO",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Loire-Atlantique, Nantes
No de poste :J0223-1336
Type d’emploi :Temps plein
Rencontrez nos professionnels
CGI France : Valeur Respect
Description du poste :
Chez CGI, leader mondial du conseil et des services numériques, vous rejoignez notre équipe spécialisée et passionnée de Microsoft 365, la Power Platform et SharePoint à Nantes en tant que Consultante Microsoft 365 & Change.

Nos équipes Nantaises agissent quotidiennement au développement du numérique des grandes entreprises de la région. Elles répondent aux attentes de nos clients sur des domaines fonctionnels variés notamment dans les secteurs banque et assurance, industrie et secteur public, offrant ainsi des perspectives d’évolution dans les métiers du conseil, de l’expertise technique et de la gestion de projet sur les technologies phares du marché.
Fonctions et responsabilités :
Nous vous embarquons avec nous dans nos multiples projets Microsoft 365 pour conseiller et guider nos clients et leurs utilisateurs dans leurs usages.

Votre mission s’étend du paramétrage avancé dans SharePoint et la Power Platform à l’accompagnement aux changements auprès des utilisateurs via des ateliers, des formations.

Principales activités :
- Avant-vente (chiffrage, aide à la proposition commerciale et soutenance)
- Atelier de recueil du besoin et écriture des spécifications fonctionnelles
- Réalisation de projets ou de POC (dans SharePoint et la Power Platform)
- Manipulation des briques collaboratives de Microsoft 365 (SharePoint, Teams, OneDrive...)
- Accompagnement sur la gouvernance tenant Microsoft 365
- Construction de plan d’accompagnement aux changements pour les utilisateurs
- Formations d’utilisateur sur Teams, SharePoint, …
Qualités requises pour réussir dans ce rôle :
Compétences techniques :
- Microsoft 365 (Teams, Planner, …)
- Power Platform (Power Apps & Power Automate)
- SharePoint (Online à minima)
- Administration du tenant est un plus.

Compétences fonctionnelles :
- Recueil et analyse des besoins des utilisateurs
- Estimation et pilotage de budget, planning et ressources
- Formations et accompagnement des end-user

Profil recherché :
Vous êtes titulaire d’un BAC+5, type école d’ingénieur.
Vous justifiez d’une expérience dans le conseil ou le développement autour de SharePoint puis Microsoft 365.
Certifications : les certifications Microsoft sont un plus.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des femmes et au bien-être de nos salariés LGBT+.
Compétences :
Microsoft 365 Developer
Sharepoint


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",eeb392d6-e5ea-4002-b138-ac295f73eba5,Consultant Microsoft 365 & Change H/F,microsoft
401,401,"
Gennevilliers, IDF 92230",,,,"
Aujourd'hui",,"
Autres","
https://www.comlinedirect.net/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Êtes-vous prêt pour un nouveau défi ?


Vous êtes à la recherche de challenge ? Vous souhaitez évoluer dans une entreprise reconnue ? N'hésitez plus  !

Vous travaillez pour le compte d'un de nos clients dans les nouvelles technologies.

 Vous portez le développement du chiffre d'affaires et l'adressage de votre portefeuille, sur l'une des marques les plus connues du secteur de L'IT à savoir HP, Microsoft, Lenovo,Samsung.

Le Poste :  


Exécuter la stratégie de la Business Unit :
L'identification et l'intégration de nouveaux fournisseurs
Développement commercial afin d'optimiser les résultats
Aider les équipes de vente à gagner et à augmenter leur part  de marché.
Détecter avec Microsoft AZURE les plans marketings et gérer les budgets.
Augmenter les ventes à partir du portefeuille de fournisseurs
Contribution stratégique aux propositions de marché des fournisseurs

Profil, Expérience, Formation :

1 à 3 ans d'expérience professionnelle dans le secteur de l'informatique
connaissance et maitrise du marché de l'informatique sur les solutions Microsoft AZURE 
Les certifications de Microsoft sont très appréciées comme AZ900, AZ104.
Dynamique et accrocheur.
Bonne maîtrise du pack MS Office et des outils web",ae8708e1-536b-4be4-b30f-00ec981b4c34,Sales Specialist Microsoft AZURE (H/F),microsoft
402,402,"
Toulouse, OCC 31300",,,,"
Il y a 2 jours","
35 000 € Par An","
Informatique - Software","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Nous recherchons pour le compte de notre client, cabinet de conseil en ingénierie et hautes-technologies, un administrateur Windows / Microsoft (F/H).
Descriptif du poste:
Chez un client toulousain leader sur son secteur d'activités, vos missions consistent aux tâches suivantes :

Vous assurer l'administration des systèmes et des plates formes Windows et le support aux chefs de projet/ PO /Archis en prospection, spécification, conception, ou réflexions d'évolutions.
Vous gérez et traitez les incidents : support Niveau 2 & 3
Vous étudiez, configurez et déployez de nouveaux environnements. Vous améliorez les processus d'industrialisation. Vous établissez les règles d'exploitation de votre périmètre, les rédigez et les présentez. Vous maintenez la documentation des procédures de configuration, d'exploitation et de dépannage. Vous développez des scripts spécifiques suivant les besoins. Vous assurez la sécurisation (firewall, hardening), mettez à jour les patchs. Vous maintenez le Plan de Reprise d'Activité (PRA). Enfin, vous participez aux projets d'évolutions des infrastructures.

Ce poste, basé à TOULOUSE est à pourvoir dans le cadre d'un CDI.

La rémunération brute annuelle est fixée à partir de 35 000 euros à négocier selon votre expérience.
Profil recherché:
De formation Bac+4, vous justifiez d'une expérience de 3 années minimum sur un poste d'administrateur Windows.

Vous travaillez dans un environnement technique composé des technologies suivantes :

Windows : SQL SERVER et WindowsServer 2012
Virtualisation : VMWare, ESX , RHEV , KVM .., Cloud, Stockage
Scripting : Python, Perl, Shell, Java, Git
Cloud : OpenStack, AWS, GCP, Azure
Déploiement/ Intégration : GitLabCI, Ansible, Jenkins
Réf. de l’offre: 307-S38-R000916_01R",8554f15e-28a7-4a78-bc3b-1fa03c3112ee,Administrateur windows / microsoft (F/H),microsoft
403,403,"
Nantes, PLO",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Loire-Atlantique, Nantes
No de poste :J0223-1341
Type d’emploi :Temps plein
Description du poste :
Chez CGI, leader mondial du conseil et des services numériques, vous rejoignez notre équipe spécialisée et passionnée de Microsoft 365, la Power Platform et SharePoint à Nantes en tant que Consultante Microsoft 365 & Power Platform.
Nos équipes Nantaises agissent quotidiennement au développement du numérique des grandes entreprises de la région. Elles répondent aux attentes de nos clients sur des domaines fonctionnels variés notamment dans les secteurs banque et assurance, industrie et secteur public, offrant ainsi des perspectives d’évolution dans les métiers du conseil, de l’expertise technique et de la gestion de projet sur les technologies phares du marché.
Fonctions et responsabilités :
Nous vous embarquons avec nous dans nos multiples projets Microsoft 365 pour conseiller et guider nos clients et leurs utilisateurs dans leurs usages.
Votre mission s’étend du paramétrage SharePoint au développement d’application ou de processus métier avec la Power Platform.

Principales activités :
- Avant-vente (Chiffrage, aide à la proposition commerciale et soutenance)
- Atelier de recueil du besoin et écriture des spécifications fonctionnelles et techniques
- Réalisation de projet ou de POC (dans SharePoint et la Power Platform)
Qualités requises pour réussir dans ce rôle :
Compétences techniques :
- SharePoint (Online et OnPremise)
- Microsoft 365 (Teams, Planner, …)
- Power Platform (Power Apps & Power Automate ; Power BI est un plus)
- Outils de migration (Sharegate / SPMT)
- Administration du tenant est un plus.

Compétences fonctionnelles :
- Recueil et analyse des besoins des utilisateurs
- Estimation et pilotage de budget, planning et ressources
- Rédaction de la documentation fonctionnelle et technique.

Profil recherché :
Vous êtes titulaire d’un BAC+5, type école d’ingénieur.
Vous justifiez d’une expérience dans le développement autour de SharePoint et la Power Platform.
Certifications : les certifications Microsoft sont un plus.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des femmes et au bien-être de nos salariés LGBT+.
Compétences :
Microsoft 365 Developer
Sharepoint


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",94eee333-6c7f-4e2a-a21b-82f8cbd9ca71,Consultant Microsoft 365 & Power Platform H/F,microsoft
404,404,"
Sophia Antipolis, PACA",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Analyse et technologies numériques émergentes
Localisation principale : France, Alpes-Maritimes, Sophia Antipolis
No de poste :J1022-1089
Type d’emploi :Temps plein
Description du poste :
Chez CGI, leader mondial du conseil et des services numériques, vous rejoignez nos équipes Data à Sophia Antipolis en tant que Consultant Microsoft Power BI expérimenté.

Au sein de la technopole de Sophia Antipolis, CGI est reconnue pour son expertise technique et ses offres dans les domaines de la data, du digital customer et du conseil. Nos équipes évoluent dans un environnement alliant proximité, inclusion, ouverture internationale, et interviennent pour nos clients dans les secteurs du transport, du service, de l’industrie, des télécommunications ou encore de la retraite/prévoyance.
Fonctions et responsabilités :
En tant que Consultant Microsoft Power BI expérimenté, vous intégrez une équipe de collaborateurs CGI et participerez à toutes les phases de mise en œuvre d’un projet BI, de l'analyse du besoin client à la mise en place de la solution technique. Vous évoluerez sur des projets d'envergure, dans des environnements métiers variés avec un niveau de responsabilité croissant. Vous aurez également la possibilité de contribuer à l’animation de la communauté Data et au développement de l’offre Data.

Rattaché à un Directeur Conseil & Services, et en fonction de vos envies et votre expérience, vos missions principales s’articuleront autour des activités suivantes :

• Identification et priorisation des cas d’usages métiers
• Conduite d’ateliers métiers et IT
• Analyse et formalisation des besoins en relation direct avec les utilisateurs, dans un contexte régulièrement complexe et international (en anglais)
• Rédaction des spécifications fonctionnelles et techniques
• Définition de la stratégie de test, plan de test, tests de validation, contrôles de qualité des livrables
• Rédaction des documents techniques
• Développements complexes et encadrement d’autres développeurs
• Participation à l’animation de la communauté : Veille technologique sur votre domaine d’intervention, capitalisation et communication des évolutions technologiques auprès des experts de votre filière.
• Contribution aux propositions commerciales et aux présentations clients ou internes
• Accompagnement au changement

Fort d’une intégration réussie, de nombreuses possibilités d’évolutions de carrière s’offriront rapidement à vous, dans l’animation de la filière technique, dans le consulting Business et IT ou dans une fonction de Delivery.
Qualités requises pour réussir dans ce rôle :
Passionné(e) de nouvelles technologies, vous aimez le travail en équipe, apprendre, partager, vous êtes également doté(e) d'un esprit audacieux et ambitieux.

De formation Bac+5, vous justifiez impérativement d'au moins 3 ans d'expérience sur Microsoft Power BI (une certification serait un plus), et vous avez développé une autonomie sur votre domaine de compétence.

Vous êtes curieux, adaptable et êtes doté(e) du sens du service. Vous avez un bon relationnel et une réelle capacité d’adaptation. Vous maîtrisez l’anglais. Votre dynamisme, votre ambition et votre goût du challenge sont vos atouts pour réussir dans ce poste. Votre envie de transmettre vos connaissances également.


CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+.
Compétences :
Data Visualisation


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",349dd014-78f8-4048-b4a1-a3bbe7367f9e,Consultant Microsoft Power BI Expérimenté H/F,microsoft
405,405,"
Nice, PACA",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Technique, cabinet de recrutement spécialisé en IT, recrute pour l'un de ses clients sur Nice un Ingénieur Système Microsoft. H/F.
Chez Lynx RH, nous sommes à votre écoute pour vous trouver les entreprises et les postes qui vous correspondent.
Notre process de recrutement vous permet d’avoir une vraie expérience du recrutement sur-mesure, dans un environnement de confiance et de transparence.
Vos missions
Ton défi en tant qu’Ingénieur Système Microsoft sera de répondre aux missions suivantes :
• Analyse des enjeux projet
• Intégration et configuration de solutions techniques Microsoft
• Audit, conseil • Design / Architecture de solutions techniques Microsoft
• Transfert de compétences • Rédaction de documentation • Veille technologique, enablement ;
• Troubleshooting niveau 3
• Audit de sécurité
• Plusieurs possibilités d’organisations s’offrent à toi : télétravail, mixte agence /client
Pré-requis
Tu as le sens du service, une bonne capacité d'écoute, tu sais communiquer et as un bon relationnel, notamment avec les clients.
Tu es autonome, force de proposition, tu as un esprit d’équipe, un bon sens du service et la relation client est un atout avéré chez toi, alors nous avons besoin de toi ! 
Profil recherché
Issu(e) d'une formation en informatique, vous possédez une expérience dans les environnements Systèmes. Vous maîtrisez au moins quatre des technologies suivantes :
• Microsoft Office 365
• Microsoft Exchange
• Microsoft Active Directory
• Microsoft Azure, AADConnect, AD FS
• Microsoft SQL
• Microsoft SCCM / CMCB
• RDS / Citrix XenDesktopApp, Citrix Netscaler ADC (bonus)
• Plateforme Hyperconvergence NUTANIX AHV
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 45000 € - 55000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/08/2023",b484d125-92af-4140-9f3f-9eb40f9bc148,Ingénieur système Microsoft H/F,microsoft
406,406,"
Valbonne, PACA",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Technique, cabinet de recrutement spécialisé en IT, recrute pour l'un de ses clients sur Marseille un Ingénieur Système Microsoft. H/F.
Dans le cadre de notre développement, l'entreprise recherche un(e) Ingénieur Système Microsoft, sur la région marseillaise, afin d'accompagner ses clients dans le déploiement et le maintien en condition opérationnel de leur infrastructure.
Vos missions
Ton défi en tant qu'Ingénieur Système Microsoft sera de répondre aux missions suivantes :
- Analyse des enjeux projet
- Intégration et configuration de solutions techniques Microsoft
- Audit, conseil
- Design / Architecture de solutions techniques Microsoft
- Transfert de compétences
- Rédaction de documentation
- Veille technologique
- Troubleshooting niveau 3
- Audit de sécurité
- Plusieurs possibilités d'organisations s'offrent à toi : télétravail, mixte agence /client
Pré-requis
Tu as le sens du service, une bonne capacité d'écoute, tu sais communiquer et as un bon relationnel, notamment avec les clients.
Tu es autonome, force de proposition, tu as un esprit d'équipe, un bon sens du service et la relation client est un atout avéré chez toi, alors nous avons besoin de toi !
Possibilité de Télétravail partiel.
Profil recherché
Issu(e) d'une formation en informatique, tu possèdes une une expérience de minimum 7 ans dans les environnements Systèmes.
Tu maîtrises les technologies suivantes :
- Microsoft Office 365
- Microsoft Exchange
- Mirosoft Active Directory
- Microsoft Azure, AADConnect, AD FS
- Microsoft SQL
- Microsoft SCCM / CMCB
- RDS / Citrix XenDesktopApp, Citrix Netscaler ADC (bonus)
- Plateforme Hyperconvergence NUTANIX AHV
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 50000 € - 60000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 20/08/2023",8905e31a-ee7a-4ef0-877b-5c81df1124e9,Ingénieur Système Microsoft H/F,microsoft
